date,AQI,quality,PM2.5,PM10,SO2,CO,NO2,O3_8h
2019-02-20,64,¡º,46,39,5,0.6,32,74
2019-02-21,129,«·∂»Œ€»æ,98,63,5,1.2,53,81
2019-02-22,132,«·∂»Œ€»æ,100,85,6,1.3,61,60
2019-02-23,180,÷–∂»Œ€»æ,136,74,9,1.6,66,93
2019-02-24,104,«·∂»Œ€»æ,78,41,6,1,49,77
2019-02-25,70,¡º,51,75,9,1,49,67
2019-02-26,73,¡º,52,79,10,0.9,58,58
2019-02-27,120,«·∂»Œ€»æ,91,106,8,1.1,60,76
2019-02-28,109,«·∂»Œ€»æ,82,102,7,1,55,87
2019-03-01,158,÷–∂»Œ€»æ,120,126,8,1.2,62,103
2019-03-02,233,÷ÿ∂»Œ€»æ,183,155,9,1.4,65,131
2019-03-03,213,÷ÿ∂»Œ€»æ,163,160,10,1.4,62,104
2019-03-04,143,«·∂»Œ€»æ,109,107,6,1.1,54,91
2019-03-05,114,«·∂»Œ€»æ,86,66,5,0.9,42,87
2019-03-06,42,”≈,8,22,2,0.3,16,84
2019-03-07,48,”≈,20,44,4,0.5,38,80
2019-03-08,79,¡º,58,103,9,0.8,59,88
2019-03-09,113,«·∂»Œ€»æ,85,121,9,0.8,61,65
2019-03-10,145,«·∂»Œ€»æ,111,133,5,1,55,70
2019-03-11,41,”≈,22,36,3,0.5,24,82
2019-03-12,39,”≈,4,26,2,0.3,11,77
2019-03-13,39,”≈,8,29,2,0.3,23,78
2019-03-14,43,”≈,7,43,3,0.3,23,79
2019-03-15,48,”≈,11,48,3,0.3,17,79
2019-03-16,56,¡º,23,61,4,0.5,38,76
2019-03-17,74,¡º,49,98,7,0.7,51,104
2019-03-18,134,«·∂»Œ€»æ,102,144,10,0.9,74,112
2019-03-19,163,÷–∂»Œ€»æ,124,168,9,1,74,130
2019-03-20,85,¡º,63,101,5,0.7,39,83
2019-03-21,40,”≈,5,25,2,0.3,11,79
2019-03-22,41,”≈,7,32,2,0.2,18,82
2019-03-23,41,”≈,11,33,3,0.3,14,81
2019-03-24,69,¡º,36,87,6,0.4,44,79
2019-03-25,56,¡º,21,61,3,0.5,39,94
2019-03-26,85,¡º,47,120,9,0.8,44,85
2019-03-27,91,¡º,63,132,7,0.9,52,79
2019-03-28,58,¡º,24,65,7,0.5,28,61
2019-03-29,71,¡º,22,92,4,0.4,30,76
2019-03-30,40,”≈,5,26,3,0.2,9,79
2019-03-31,42,”≈,8,30,2,0.3,25,83
2019-04-01,45,”≈,13,40,2,0.4,30,89
2019-04-02,58,¡º,30,66,6,0.6,40,88
